JobID,JobName,User,Partition,State,AllocCPUS,Elapsed,MaxRSS,TotalCPU
396600.extern,extern,,,COMPLETED,80,03:05:16,0,00:00.001
396600.0,python3,,,CANCELLED,80,03:05:18,152290.52M,03:05:08
396601,Q12S705P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:51:10,,51:03.367
396601.batch,batch,,,CANCELLED,80,00:51:15,4.43M,00:00.329
396601.extern,extern,,,COMPLETED,80,00:51:13,0,00:00:00
396601.0,python3,,,CANCELLED,80,00:51:15,58417.81M,51:03.037
396602,Q12S805P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396603,Q12S905P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396604,Q12S1005P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396605,Q12S1105P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396606,Q12S1205P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396607,Q12S1305P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396608,Q12S1405P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396609,Q12S1505P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396610,Q12S1605P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396611,Q12S1705P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396612,Q12S1805P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396613,Q12S1905P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396614,Q12S2005P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396615,Q12S2105P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396616,Q12S2205P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396617,Q12S2305P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396618,Q12S2405P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
396619,Q12S2505P01DsCUS,dgoncalves,hmem1,CANCELLED by 383200393,80,00:00:00,,00:00:00
